TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
115.5;0.06493732633450208;0.06493732633450208;0.9350626736654979;0;4.2154883233591285;0.011377159703890609
116;0.06524186072139593;0.06524186072139593;0.9347581392786041;0;4.196029455029633;0.011210693398790604
116.5;0.06554792402382907;0.06554792402382907;0.934452075976171;0;4.176615058202773;0.011046657061340646
117;0.06585552660905308;0.06585552660905308;0.934144473390947;0;4.157245898389893;0.01088502177533074
117.5;0.066164678890751;0.066164678890751;0.9338353211092489;0;4.13792272515376;0.01072575868467189
118;0.06647539132881818;0.06647539132881818;0.9335246086711818;0;4.118646272127031;0.010568839004533512
118.5;0.06678767442916168;0.06678767442916168;0.9332123255708383;0;4.099417257040161;0.01041423403210746
119;0.06710153874351847;0.06710153874351847;0.9328984612564816;0;4.080236381758446;0.010261915156999155
119.5;0.06741699486929192;0.06741699486929192;0.932583005130708;0;4.0611043323279175;0.010111853871247908
120;0.06773405344940661;0.06773405344940661;0.9322659465505934;0;4.0420217790297475;0.00996402177897817
120.5;0.06805272517218174;0.06805272517218174;0.9319472748278183;0;4.022989376442882;0.009818390605683333
121;0.06837302077122237;0.06837302077122237;0.9316269792287777;0;4.004007763514577;0.009674932207146039
121.5;0.06869495102532887;0.06869495102532887;0.9313050489746711;0;3.985077563638529;0.009533618577997846
122;0.06901852675842406;0.06901852675842406;0.930981473241576;0;3.9661993847403014;0.009394421859921188
122.5;0.06934375883949799;0.06934375883949799;0.930656241160502;0;3.9473738193697203;0.009257314349499543
123;0.0696706581825703;0.0696706581825703;0.9303293418174297;0;3.928601444799959;0.009122268505717512
123.5;0.06999923574666944;0.06999923574666944;0.9300007642533306;0;3.909882823132986;0.008989256957118701
124;0.07032950253582922;0.07032950253582922;0.9296704974641707;0;3.8912185014110876;0.008858252508623186
124.5;0.07066146959910184;0.07066146959910184;0.9293385304008982;0;3.8726090117341614;0.008729228148012915
125;0.07099514803058755;0.07099514803058755;0.9290048519694124;0;3.854054871382493;0.008602157052088062
125.5;0.07133054896948042;0.07133054896948042;0.9286694510305196;0;3.835556582944729;0.008477012592501838
126;0.07166768360012998;0.07166768360012998;0.92833231639987;0;3.8171146344507445;0.008353768341278841
126.5;0.07200656315211876;0.07200656315211876;0.9279934368478813;0;3.798729499509151;0.008232398076023674
127;0.07234719890035483;0.07234719890035483;0.9276528010996452;0;3.780401637449145;0.008112875784825984
127.5;0.0726896021651797;0.0726896021651797;0.9273103978348203;0;3.762131493466439;0.007995175670868078
128;0.07303378431249083;0.07303378431249083;0.9269662156875091;0;3.7439194987730096;0.007879272156742395
128.5;0.07337975675387866;0.07337975675387866;0.9266202432461214;0;3.725766070750406;0.007765139888485433
