# C:\WinTA100\DIL805.PRO\Data\Quenching\1_fofo_Q&P_PT170-QT300-15min_heating50oCs-1_11.13.15.PAR
#                Time - Temperature  /  Change in Length  /  Nominal Temperature 
#                  s                °C                    µm                    °C
   138         6.92209911       69.22785187        3.79044342       69.20906830
   139         6.97225189       69.74777222        3.77720070       69.71055603
   140         7.02238417       70.10123444        3.83282471       70.21180725
   141         7.07252216       70.55709839        3.88845062       70.71318054
   142         7.12269688       71.10820007        3.93877792       71.21510315
   143         7.17285013       72.14562225        4.07386589       71.71655273
   144         7.22297382       72.17494202        4.20895576       72.21792603
   145         7.27318096       72.59195709        4.28047371       72.71971893
   146         7.32331991       73.14733124        4.39966965       73.22125244
   147         7.37348318       73.62516022        4.50827026       73.72290802
   148         7.42364788       74.00087738        4.47648430       74.22448730
   149         7.47376585       74.76996613        4.50032425       74.72575378
   150         7.52388811       75.32723236        4.55065155       75.22699738
   151         7.57412481       75.68021393        4.51886559       75.72912598
   152         7.62420607       76.42609406        4.54800224       76.23023987
   153         7.67442322       76.61450958        4.61422348       76.73231506
   154         7.72456312       77.12687683        4.73077011       77.23367310
   155         7.77472496       77.62997437        4.82082939       77.73532867
   156         7.82484007       78.32912445        4.92413330       78.23638916
   157         7.87504721       78.80205536        5.00359726       78.73846436
   158         7.92519093       79.35521698        5.15457916       79.23997498
   159         7.97538424       79.82188416        5.21815109       79.74176788
   160         8.02554893       80.08927917        5.29231834       80.24349213
   161         8.07564354       80.60771179        5.29761505       80.74453735
   162         8.12587738       81.22382355        5.27907372       81.24691772
   163         8.17597103       81.55874634        5.29231834       81.74781036
   164         8.22606277       82.30670929        5.30556107       82.24877930
   165         8.27620220       83.04631805        5.29496765       82.74996948
   166         8.32639694       83.37061310        5.43535423       83.25202942
   167         8.37650681       83.80384064        5.48303223       83.75320435
   168         8.42662430       84.17551422        5.57044220       84.25428772
   169         8.47675037       84.84548187        5.71612740       84.75559235
   170         8.52689362       85.43963623        5.85651398       85.25698853
   171         8.57706547       85.89362335        5.96246719       85.75865173
   172         8.62728882       86.39653015        6.04722786       86.26092529
   173         8.67743015       86.70403290        6.04193115       86.76224518
   174         8.72759724       87.25070190        6.06841850       87.26406097
   175         8.77770615       87.77550507        6.02868652       87.76518250
   176         8.82782078       87.98415375        6.05782318       88.26618195
   177         8.87797642       88.59155273        6.09225845       88.76792145
   178         8.92808247       89.33164978        6.10020447       89.26893616
   179         8.97821331       89.78116608        6.15847778       89.77012634
   180         9.02833080       90.14939880        6.31210899       90.27142334
   181         9.07850647       90.93125916        6.43130493       90.77310181
   182         9.12865734       91.30201721        6.51871681       91.27452087
   183         9.17879200       91.75914001        6.64585876       91.77597046
   184         9.22894478       92.34440613        6.71472740       92.27742004
   185         9.27910519       92.90900421        6.78889465       92.77906799
   186         9.32924271       93.35440063        6.77035332       93.28047943
   187         9.37940025       93.69528961        6.76240730       93.78202820
   188         9.42957211       94.26806641        6.83392334       94.28383636
   189         9.47965527       94.82435608        6.77829933       94.78470612
   190         9.52979279       95.16131592        6.88689995       95.28601837
   191         9.57997608       95.74581909        6.91338921       95.78779602
   192         9.63009453       96.25000000        7.04582977       96.28899384
   193         9.68022060       96.77250671        7.15178108       96.79022217
   194         9.73041439       97.48361206        7.27892303       97.29216003
   195         9.78057098       97.91378021        7.34249496       97.79383850
   196         9.83073902       98.24227142        7.44314957       98.29531860
   197         9.88084412       98.86187744        7.55175209       98.79663086
   198         9.93097019       99.30014038        7.56499481       99.29775238
   199         9.98107719       99.89879608        7.55439949       99.79885101
   200        10.03122234      100.28170013        7.53056145      100.30040741
   201        10.08140278      100.80431366        7.54380417      100.80211639
   202        10.13152027      101.30054474        7.54115677      101.30329132
   203        10.18165588      101.69702148        7.64181137      101.80464935
   204        10.23180580      102.25104523        7.70273399      102.30613708
   205        10.28201008      102.72743988        7.80603600      102.80802917
   206        10.33211613      103.30406952        7.93847656      103.30934143
   207        10.38224506      103.70309448        8.04972649      103.81045532
   208        10.43239880      104.34999084        8.16627502      104.31201935
   209        10.48256016      104.75653839        8.21925163      104.81375122
   210        10.53271770      105.37568665        8.30931091      105.31530762
   211        10.58286381      105.81595612        8.28812027      105.81666565
   212        10.63304043      106.32101440        8.27487564      106.31852722
   213        10.68325901      106.63939667        8.27487564      106.82052612
   214        10.73337078      107.33879089        8.31460762      107.32176208
   215        10.78354168      107.78471375        8.40996552      107.82350159
   216        10.83372879      108.42279053        8.46823883      108.32522583
   217        10.88386726      108.84840393        8.47353554      108.82678223
   218        10.93402386      109.33052063        8.62187004      109.32831573
   219        10.98416519      109.78780365        8.71722603      109.82963562
   220        11.03433132      110.31762695        8.86556053      110.33141327
   221        11.08445263      110.83977509        9.01124382      110.83265686
   222        11.13457394      111.42492676        9.00859642      111.33367920
   223        11.18472481      111.89979553        8.99800110      111.83528900
   224        11.23492813      112.55723572        9.01124382      112.33740997
   225        11.28510666      112.70530701        9.05627441      112.83908081
   226        11.33525658      113.16199493        9.04832840      113.34062195
   227        11.38539219      113.78897858        9.10660172      113.84188843
   228        11.43552208      114.16629791        9.15957832      114.34324646
   229        11.48569489      115.06371307        9.18871498      114.84496307
