"index" "time.s" "TC1" "dl.um" "T.n" "dl.pct"
4704 79.20080566 299.80639648 21.57454109 300 0.0523404693
4705 80.0999755799999 300.03100586 21.65930367 300 0.0531880951
4706 81.0008544900002 300.09182739 21.66195107 300 0.0532145691
4707 81.9005126900001 300.03994751 21.72817039 300 0.0538767623
4708 82.8001708900001 299.88504028 21.7784977 300 0.0543800354
4709 83.7008056599998 299.99206543 21.8738575 300 0.0553336334
4710 84.5999755799999 300.06991577 21.85531425 300 0.0551482009
4711 85.4998779299999 299.98318481 21.95596886 300 0.056154747
4712 86.4005126900001 300.02209473 22.0274868 300 0.0568699264
4713 87.2999267499999 300.03100586 22.06456947 300 0.0572407531
4714 88.2008056599998 299.90045166 22.08840752 300 0.0574791336
4715 89.1004638599998 300.09585571 22.14403343 300 0.0580353927
4716 90.0008544900002 300.0375061 22.22614861 300 0.0588565445
4717 90.90026855 300.01965332 22.28442192 300 0.0594392776
4718 91.7996826099998 300.0350647 22.36918449 300 0.0602869033
4719 92.7003173799999 300.09994507 22.36918449 300 0.0602869033
4720 93.5997314400001 299.99127197 22.43540382 300 0.0609490966
4721 94.50061035 299.93048096 22.47778511 300 0.0613729095
4722 95.4000244099998 300.13806152 22.55724907 300 0.0621675491
4723 96.3006591799999 300.04806519 22.59697914 300 0.0625648498
4724 97.2000732400002 300.02615356 22.69763374 300 0.0635713958
4725 98.1004638599998 300.12020874 22.68439293 300 0.0634389877
4726 99.0001220700001 299.99533081 22.724123 300 0.0638362884
4727 99.9007568299999 299.98239136 22.81947899 300 0.0647898483
4728 100.80017089 300.2442627 22.88570213 300 0.0654520797
4729 101.70007324 300.04238892 22.91748619 300 0.0657699203
4730 102.60046386 300.00344849 22.95456886 300 0.066140747
4731 103.50012207 300.03344727 23.01019478 300 0.0666970062
4732 104.40051269 300.07318115 22.99430275 300 0.0665380859
4733 105.30017089 300.03344727 23.07641411 300 0.0673591995
4734 106.1998291 300.00912476 23.18766594 300 0.0684717178
4735 107.10046386 300.00262451 23.25918388 300 0.0691868972
4736 108.00012207 300.14047241 23.27507591 300 0.0693458175
4737 108.89978027 300.03424072 23.3174572 300 0.0697696304
4738 109.80041503 300.10238647 23.3677845 300 0.0702729034
4739 110.70031738 300.04153442 23.45519447 300 0.0711470031
4740 111.59973144 300.14129639 23.45784187 300 0.0711734771
4741 112.50036621 299.95645142 23.55055046 300 0.072100563
4742 113.40026855 300.04641724 23.53995705 300 0.0719946289
4743 114.29968261 299.77560425 23.60352898 300 0.0726303482
4744 115.20031738 300.05780029 23.67239571 300 0.0733190155
4745 116.09973144 299.71398926 23.68828773 300 0.0734779357
