Depth	Intensity	IntensityABS
137.063225	0.472538	0.052952
137.488887	0.526561	0.058632
137.914549	0.497124	0.054941
138.340211	0.644542	0.070704
138.765874	0.802607	0.087639
139.191536	0.529107	0.057434
139.617198	0.443760	0.047850
140.042860	0.508378	0.054386
140.468522	0.480595	0.051070
140.894185	0.307509	0.032475
141.319847	0.353019	0.036952
141.745509	0.207910	0.021590
142.171171	0.217733	0.022400
142.596833	0.220339	0.022595
143.022495	0.266252	0.027140
143.448158	0.285516	0.028907
143.873820	0.280437	0.028210
144.299482	0.300167	0.030021
144.725144	0.276591	0.027545
145.150806	0.297113	0.029377
145.576469	0.258148	0.025311
146.002131	0.308603	0.030075
146.427793	0.289836	0.027978
146.853455	0.257860	0.024741
147.279117	0.205906	0.019591
147.704780	0.154281	0.014543
148.130442	0.151061	0.014168
148.556104	0.161277	0.015035
148.981766	0.168988	0.015659
149.407428	0.195370	0.017937
149.833090	0.173385	0.015835
150.258753	0.155076	0.014114
150.684415	0.133547	0.012073
151.110077	0.163923	0.014764
151.535739	0.153264	0.013702
151.961401	0.120923	0.010728
152.387064	0.114466	0.010026
152.812726	0.119150	0.010331
153.238388	0.219660	0.018994
153.664050	0.144970	0.012468
154.089712	0.129245	0.011034
154.515375	0.127193	0.010788
154.941037	0.108158	0.009139
155.366699	0.107387	0.009016
155.792361	0.111817	0.009348
156.218023	0.139090	0.011526
156.643686	0.125308	0.010281
157.069348	0.128315	0.010457
157.495010	0.139369	0.011281
157.920672	0.199190	0.016015
158.346334	0.155146	0.012381
158.771996	0.205295	0.016277
159.197659	0.207249	0.016338
159.623321	0.131664	0.010320
160.048983	0.127724	0.009915
160.474645	0.229871	0.017724
160.900307	0.228744	0.017533
161.325970	0.165016	0.012578
161.751632	0.112190	0.008503
162.177294	0.097164	0.007326
162.602956	0.179978	0.013425
163.028618	0.141483	0.010481
163.454281	0.111546	0.008207
163.879943	0.107574	0.007869
164.305605	0.102748	0.007438
164.731267	0.093645	0.006747
165.156929	0.086478	0.006181
165.582591	0.055116	0.003891
166.008254	0.056742	0.003992
166.433916	0.056055	0.003928
166.859578	0.074001	0.005161
167.285240	0.099235	0.006864
167.710902	0.122016	0.008404
168.136565	0.114793	0.007860
168.562227	0.095316	0.006501
168.987889	0.065648	0.004454
169.413551	0.062230	0.004191
169.839213	0.094401	0.006270
170.264876	0.057116	0.003774
170.690538	0.046376	0.003032
171.116200	0.040024	0.002608
171.541862	0.039325	0.002549
171.967524	0.111967	0.007198
172.393187	0.079465	0.005074
172.818849	0.042595	0.002695
173.244511	0.041969	0.002648
173.670173	0.048068	0.003012
174.095835	0.014492	0.000897
174.521497	0.013924	0.000858
174.947160	0.013924	0.000858
175.372822	0.241046	0.014669
175.798484	0.025065	0.001515
176.224146	0.023719	0.001424
176.649808	0.036508	0.002177
177.075471	0.113810	0.006741
177.501133	0.063748	0.003760
177.926795	0.000000	0.000000
178.352457	0.000000	0.000000
178.778119	0.000000	0.000000
179.203782	0.000000	0.000000
179.629444	0.000000	0.000000
180.055106	0.000000	0.000000
180.480768	0.000000	0.000000
180.906430	0.000000	0.000000
181.332092	0.000000	0.000000
181.757755	0.000000	0.000000
182.183417	0.000000	0.000000
182.609079	0.000000	0.000000
183.034741	0.000000	0.000000
183.460403	0.000000	0.000000
183.886066	0.000000	0.000000
184.311728	0.000000	0.000000
184.737390	0.000000	0.000000
185.163052	0.000000	0.000000
185.588714	0.000000	0.000000
186.014377	0.000000	0.000000
186.440039	0.000000	0.000000
186.865701	0.000000	0.000000
187.291363	0.000000	0.000000
187.717025	0.000000	0.000000
188.142687	0.000000	0.000000
188.568350	0.000000	0.000000
188.994012	0.000000	0.000000
189.419674	0.000000	0.000000
189.845336	0.000000	0.000000
190.270998	0.000000	0.000000
190.696661	0.000000	0.000000
191.122323	0.000000	0.000000
191.547985	0.000000	0.000000
191.973647	0.000000	0.000000
192.399309	0.000000	0.000000
192.824972	0.000000	0.000000
193.250634	0.000000	0.000000
193.676296	0.000000	0.000000
194.101958	0.000000	0.000000
194.527620	0.000000	0.000000
194.953283	0.000000	0.000000
195.378945	0.000000	0.000000
195.804607	0.000000	0.000000
196.230269	0.000000	0.000000
196.655931	0.000000	0.000000
197.081593	0.000000	0.000000
197.507256	0.000000	0.000000
197.932918	0.000000	0.000000
198.358580	0.000000	0.000000
198.784242	0.000000	0.000000
199.209904	0.000000	0.000000
199.635567	0.000000	0.000000
200.061229	0.000000	0.000000
200.486891	0.000000	0.000000
