Distance	Intensity	IntensityABS
183.886066	0.000000	0.000000
184.311728	0.000000	0.000000
184.737390	0.000000	0.000000
185.163052	0.000000	0.000000
185.588714	0.000000	0.000000
186.014377	0.000000	0.000000
186.440039	0.000000	0.000000
186.865701	0.000000	0.000000
187.291363	0.000000	0.000000
187.717025	0.000000	0.000000
188.142687	0.000000	0.000000
188.568350	0.000000	0.000000
188.994012	0.000000	0.000000
189.419674	0.000000	0.000000
189.845336	0.000000	0.000000
190.270998	0.000000	0.000000
190.696661	0.000000	0.000000
191.122323	0.000000	0.000000
191.547985	0.000000	0.000000
191.973647	0.000000	0.000000
192.399309	0.000000	0.000000
192.824972	0.000000	0.000000
193.250634	0.000000	0.000000
193.676296	0.000000	0.000000
194.101958	0.000000	0.000000
194.527620	0.000000	0.000000
194.953283	0.000000	0.000000
195.378945	0.000000	0.000000
195.804607	0.000000	0.000000
196.230269	0.000000	0.000000
196.655931	0.000000	0.000000
197.081593	0.000000	0.000000
197.507256	0.000000	0.000000
197.932918	0.000000	0.000000
198.358580	0.000000	0.000000
198.784242	0.000000	0.000000
199.209904	0.000000	0.000000
199.635567	0.000000	0.000000
200.061229	0.000000	0.000000
200.486891	0.000000	0.000000
200.912553	0.000000	0.000000
201.338215	0.000000	0.000000
201.763878	0.000000	0.000000
202.189540	0.000000	0.000000
202.615202	0.000000	0.000000
203.040864	0.000000	0.000000
203.466526	0.000000	0.000000
203.892188	0.000000	0.000000
204.317851	0.000000	0.000000
204.743513	0.000000	0.000000
205.169175	0.000000	0.000000
205.594837	0.000000	0.000000
206.020499	0.000000	0.000000
206.446162	0.000000	0.000000
206.871824	0.000000	0.000000
207.297486	0.000000	0.000000
207.723148	0.000000	0.000000
208.148810	0.000000	0.000000
208.574473	0.000000	0.000000
209.000135	0.000000	0.000000
209.425797	0.000000	0.000000
209.851459	0.000000	0.000000
210.277121	0.000000	0.000000
210.702784	0.000000	0.000000
211.128446	0.000000	0.000000
211.554108	0.000000	0.000000
211.979770	0.000000	0.000000
212.405432	0.000000	0.000000
